run_id,portfolio_id,portfolio_name,question_id,question_category,status_code,overall_score,issues,warnings_count
cache_tech_core__q001,cache_tech_core,Cache Tech Core,q001,general_health,200,4.66,warnings_present,1
cache_tech_core__q003,cache_tech_core,Cache Tech Core,q003,general_health,200,4.66,warnings_present,1
cache_tech_core__q005,cache_tech_core,Cache Tech Core,q005,general_health,200,4.66,warnings_present,1
cache_tech_core__q007,cache_tech_core,Cache Tech Core,q007,general_health,200,4.14,planner_mismatch;warnings_present,1
cache_tech_core__q009,cache_tech_core,Cache Tech Core,q009,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q011,cache_tech_core,Cache Tech Core,q011,concentration_diversification,200,4.76,warnings_present,1
cache_tech_core__q013,cache_tech_core,Cache Tech Core,q013,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q015,cache_tech_core,Cache Tech Core,q015,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q017,cache_tech_core,Cache Tech Core,q017,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q019,cache_tech_core,Cache Tech Core,q019,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q021,cache_tech_core,Cache Tech Core,q021,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q023,cache_tech_core,Cache Tech Core,q023,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q025,cache_tech_core,Cache Tech Core,q025,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q051,cache_tech_core,Cache Tech Core,q051,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q053,cache_tech_core,Cache Tech Core,q053,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q055,cache_tech_core,Cache Tech Core,q055,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q057,cache_tech_core,Cache Tech Core,q057,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q059,cache_tech_core,Cache Tech Core,q059,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q061,cache_tech_core,Cache Tech Core,q061,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q063,cache_tech_core,Cache Tech Core,q063,sector_diversification,200,4.76,warnings_present,1
cache_tech_core__q065,cache_tech_core,Cache Tech Core,q065,benchmark_underperformance,200,4.66,warnings_present,1
cache_tech_core__q067,cache_tech_core,Cache Tech Core,q067,benchmark_underperformance,200,4.66,warnings_present,1
cache_tech_core__q069,cache_tech_core,Cache Tech Core,q069,drawdown_risk,200,4.66,warnings_present,1
cache_tech_core__q071,cache_tech_core,Cache Tech Core,q071,drawdown_risk,200,4.66,warnings_present,1
cache_tech_core__q095,cache_tech_core,Cache Tech Core,q095,drawdown_risk,200,4.14,planner_mismatch;warnings_present,1
cache_tech_core__q097,cache_tech_core,Cache Tech Core,q097,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q100,cache_tech_core,Cache Tech Core,q100,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q091,cache_tech_core,Cache Tech Core,q091,earnings_overlay,200,4.14,planner_mismatch;warnings_present,1
cache_tech_core__q093,cache_tech_core,Cache Tech Core,q093,filings_overlay,200,4.66,warnings_present,1
cache_tech_core__q028,cache_tech_core,Cache Tech Core,q028,rates_macro,200,4.71,warnings_present,1
cache_tech_core__q030,cache_tech_core,Cache Tech Core,q030,rates_macro,200,4.71,warnings_present,1
cache_tech_core__q032,cache_tech_core,Cache Tech Core,q032,rates_macro,200,4.71,warnings_present,1
cache_tech_core__q034,cache_tech_core,Cache Tech Core,q034,rates_macro,200,4.71,warnings_present,1
cache_tech_core__q036,cache_tech_core,Cache Tech Core,q036,geopolitical_war,200,4.71,warnings_present,1
cache_tech_core__q038,cache_tech_core,Cache Tech Core,q038,geopolitical_war,200,4.71,warnings_present,1
cache_tech_core__q040,cache_tech_core,Cache Tech Core,q040,geopolitical_war,200,4.71,warnings_present,1
cache_tech_core__q042,cache_tech_core,Cache Tech Core,q042,geopolitical_war,200,4.71,warnings_present,1
cache_tech_core__q044,cache_tech_core,Cache Tech Core,q044,what_if_addition,200,4.76,warnings_present,1
cache_tech_core__q046,cache_tech_core,Cache Tech Core,q046,what_if_addition,200,4.76,warnings_present,1
cache_tech_core__q048,cache_tech_core,Cache Tech Core,q048,what_if_addition,500,0.0,technical_failure,0
cache_tech_core__q050,cache_tech_core,Cache Tech Core,q050,what_if_addition,200,4.76,warnings_present,1
cache_tech_core__q074,cache_tech_core,Cache Tech Core,q074,macro_sensitivity,200,4.71,warnings_present,1
cache_tech_core__q076,cache_tech_core,Cache Tech Core,q076,macro_sensitivity,200,4.71,warnings_present,1
cache_tech_core__q078,cache_tech_core,Cache Tech Core,q078,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q080,cache_tech_core,Cache Tech Core,q080,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q082,cache_tech_core,Cache Tech Core,q082,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q084,cache_tech_core,Cache Tech Core,q084,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q098,cache_tech_core,Cache Tech Core,q098,messy_natural_language,200,4.66,warnings_present,1
cache_tech_core__q086,cache_tech_core,Cache Tech Core,q086,windowed,500,0.0,technical_failure,0
cache_tech_core__q088,cache_tech_core,Cache Tech Core,q088,windowed,200,4.66,warnings_present,1
cache_growth_barbell__q001,cache_growth_barbell,Cache Growth Barbell,q001,general_health,200,4.66,warnings_present,1
cache_growth_barbell__q003,cache_growth_barbell,Cache Growth Barbell,q003,general_health,200,4.66,warnings_present,1
cache_growth_barbell__q005,cache_growth_barbell,Cache Growth Barbell,q005,general_health,200,4.66,warnings_present,1
cache_growth_barbell__q007,cache_growth_barbell,Cache Growth Barbell,q007,general_health,200,4.14,planner_mismatch;warnings_present,1
cache_growth_barbell__q009,cache_growth_barbell,Cache Growth Barbell,q009,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q011,cache_growth_barbell,Cache Growth Barbell,q011,concentration_diversification,200,4.76,warnings_present,1
cache_growth_barbell__q013,cache_growth_barbell,Cache Growth Barbell,q013,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q015,cache_growth_barbell,Cache Growth Barbell,q015,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q017,cache_growth_barbell,Cache Growth Barbell,q017,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q019,cache_growth_barbell,Cache Growth Barbell,q019,performance_drivers,200,4.66,warnings_present,1
cache_growth_barbell__q021,cache_growth_barbell,Cache Growth Barbell,q021,performance_drivers,200,4.66,warnings_present,1
cache_growth_barbell__q023,cache_growth_barbell,Cache Growth Barbell,q023,performance_drivers,200,4.66,warnings_present,1
cache_growth_barbell__q025,cache_growth_barbell,Cache Growth Barbell,q025,performance_drivers,200,4.66,warnings_present,1
cache_growth_barbell__q051,cache_growth_barbell,Cache Growth Barbell,q051,risk_adjusted_returns,200,4.76,warnings_present,1
cache_growth_barbell__q053,cache_growth_barbell,Cache Growth Barbell,q053,risk_adjusted_returns,200,4.76,warnings_present,1
cache_growth_barbell__q055,cache_growth_barbell,Cache Growth Barbell,q055,risk_adjusted_returns,200,4.76,warnings_present,1
cache_growth_barbell__q057,cache_growth_barbell,Cache Growth Barbell,q057,risk_adjusted_returns,200,4.76,warnings_present,1
cache_growth_barbell__q059,cache_growth_barbell,Cache Growth Barbell,q059,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q061,cache_growth_barbell,Cache Growth Barbell,q061,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q063,cache_growth_barbell,Cache Growth Barbell,q063,sector_diversification,200,4.76,warnings_present,1
cache_growth_barbell__q065,cache_growth_barbell,Cache Growth Barbell,q065,benchmark_underperformance,200,4.66,warnings_present,1
cache_growth_barbell__q067,cache_growth_barbell,Cache Growth Barbell,q067,benchmark_underperformance,200,4.66,warnings_present,1
cache_growth_barbell__q069,cache_growth_barbell,Cache Growth Barbell,q069,drawdown_risk,200,4.66,warnings_present,1
cache_growth_barbell__q071,cache_growth_barbell,Cache Growth Barbell,q071,drawdown_risk,200,4.66,warnings_present,1
cache_growth_barbell__q095,cache_growth_barbell,Cache Growth Barbell,q095,drawdown_risk,200,4.14,planner_mismatch;warnings_present,1
cache_growth_barbell__q097,cache_growth_barbell,Cache Growth Barbell,q097,risk_adjusted_returns,200,4.76,warnings_present,1
cache_growth_barbell__q100,cache_growth_barbell,Cache Growth Barbell,q100,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q091,cache_growth_barbell,Cache Growth Barbell,q091,earnings_overlay,200,4.66,warnings_present,1
cache_growth_barbell__q093,cache_growth_barbell,Cache Growth Barbell,q093,filings_overlay,200,4.66,warnings_present,1
cache_growth_barbell__q028,cache_growth_barbell,Cache Growth Barbell,q028,rates_macro,200,4.71,warnings_present,1
cache_growth_barbell__q030,cache_growth_barbell,Cache Growth Barbell,q030,rates_macro,200,4.71,warnings_present,1
cache_growth_barbell__q032,cache_growth_barbell,Cache Growth Barbell,q032,rates_macro,200,4.71,warnings_present,1
cache_growth_barbell__q034,cache_growth_barbell,Cache Growth Barbell,q034,rates_macro,200,4.71,warnings_present,1
cache_growth_barbell__q036,cache_growth_barbell,Cache Growth Barbell,q036,geopolitical_war,200,4.71,warnings_present,1
cache_growth_barbell__q038,cache_growth_barbell,Cache Growth Barbell,q038,geopolitical_war,200,4.71,warnings_present,1
cache_growth_barbell__q040,cache_growth_barbell,Cache Growth Barbell,q040,geopolitical_war,200,4.71,warnings_present,1
cache_growth_barbell__q042,cache_growth_barbell,Cache Growth Barbell,q042,geopolitical_war,200,4.71,warnings_present,1
cache_growth_barbell__q044,cache_growth_barbell,Cache Growth Barbell,q044,what_if_addition,200,4.76,warnings_present,1
cache_growth_barbell__q046,cache_growth_barbell,Cache Growth Barbell,q046,what_if_addition,200,4.76,warnings_present,1
cache_growth_barbell__q048,cache_growth_barbell,Cache Growth Barbell,q048,what_if_addition,200,4.76,warnings_present,1
cache_growth_barbell__q050,cache_growth_barbell,Cache Growth Barbell,q050,what_if_addition,200,4.76,warnings_present,1
cache_growth_barbell__q074,cache_growth_barbell,Cache Growth Barbell,q074,macro_sensitivity,200,4.71,warnings_present,1
cache_growth_barbell__q076,cache_growth_barbell,Cache Growth Barbell,q076,macro_sensitivity,200,4.71,warnings_present,1
cache_growth_barbell__q078,cache_growth_barbell,Cache Growth Barbell,q078,messy_natural_language,200,4.66,warnings_present,1
cache_growth_barbell__q080,cache_growth_barbell,Cache Growth Barbell,q080,messy_natural_language,200,4.66,warnings_present,1
cache_growth_barbell__q082,cache_growth_barbell,Cache Growth Barbell,q082,messy_natural_language,200,4.66,warnings_present,1
cache_growth_barbell__q084,cache_growth_barbell,Cache Growth Barbell,q084,messy_natural_language,200,4.66,warnings_present,1
cache_growth_barbell__q098,cache_growth_barbell,Cache Growth Barbell,q098,messy_natural_language,200,4.66,warnings_present,1
cache_growth_barbell__q086,cache_growth_barbell,Cache Growth Barbell,q086,windowed,500,0.0,technical_failure,0
cache_growth_barbell__q088,cache_growth_barbell,Cache Growth Barbell,q088,windowed,200,4.66,warnings_present,1
